run,dataset,label,encoder_transform,decoder_transform,encoder_n_resblock,decoder_n_resblock,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_affine-affine_compressai_M16_lmbda32,gaussian,affine,affine,affine,2,2,32.0,15000,2.9915835857391357,0.02250251732764378,0.022502517327666283,3.7116641998291016,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda32/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda64,gaussian,affine,affine,affine,2,2,64.0,20000,3.4860711097717285,0.01132941711692869,0.011329417116940022,4.211153984069824,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda64/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda128,gaussian,affine,affine,affine,2,2,128.0,20000,3.652268409729004,0.00899275206028516,0.008992752060294151,4.803340911865234,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda128/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda256,gaussian,affine,affine,affine,2,2,256.0,20000,3.702749252319336,0.008385268039993007,0.008385268040001392,5.849377632141113,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda256/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda1024,gaussian,affine,affine,affine,2,2,1024.0,20000,3.7655510902404785,0.007686815690241517,0.007686815690249205,11.636850357055664,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda1024/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda8192,gaussian,affine,affine,affine,2,2,8192.0,20000,3.765777111053467,0.007684427779160206,0.0076844277791678905,66.71660614013672,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda8192/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda32,gaussian,linear,linear,linear,2,2,32.0,20000,2.9894320964813232,0.022546987980581624,0.022546987980604172,3.710935592651367,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda32/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda64,gaussian,linear,linear,linear,2,2,64.0,20000,3.4893903732299805,0.01127133425324028,0.011271334253251553,4.210755825042725,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda64/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda128,gaussian,linear,linear,linear,2,2,128.0,20000,3.9892446994781494,0.005637872964138114,0.005637872964143753,4.710892677307129,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda128/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda256,gaussian,linear,linear,linear,2,2,256.0,20000,4.428691387176514,0.003067189827558311,0.0030671898275613785,5.213891983032227,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda256/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda1024,gaussian,linear,linear,linear,2,2,1024.0,20000,4.726517677307129,0.00207508285529704,0.002075082855299115,6.851402282714844,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda1024/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda8192,gaussian,linear,linear,linear,2,2,8192.0,20000,4.768992900848389,0.00198343698866467,0.0019834369886666536,21.017309188842773,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda8192/best.pth.tar
gaussian_encR1_decR1_compressai_M16_lmbda32,gaussian,resblock(n=1),resblock,resblock,1,1,32.0,2000,4.097508907318115,0.009309652261426675,0.009309652261435986,4.3954176902771,checkpoint/rd_sweep_extra/gaussian_encR1_decR1_compressai_M16_lmbda32/best.pth.tar
gaussian_encR1_decR1_compressai_M16_lmbda64,gaussian,resblock(n=1),resblock,resblock,1,1,64.0,2000,4.231701374053955,0.006118932273232778,0.006118932273238897,4.623312950134277,checkpoint/rd_sweep_extra/gaussian_encR1_decR1_compressai_M16_lmbda64/best.pth.tar
