run,dataset,label,encoder_transform,decoder_transform,encoder_n_resblock,decoder_n_resblock,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_linear_linear_compressai_M16_lmbda32,gaussian,linear,linear,linear,4,4,32.0,12000,2.9934873580932617,0.022483341395832464,0.02248334139585495,3.71295428276062,checkpoint/rd_sweep_normnone/gaussian_linear_linear_compressai_M16_lmbda32/best.pth.tar
gaussian_linear_linear_compressai_M16_lmbda128,gaussian,linear,linear,linear,4,4,128.0,20000,3.9892475605010986,0.005637911148363674,0.005637911148369312,4.71090030670166,checkpoint/rd_sweep_normnone/gaussian_linear_linear_compressai_M16_lmbda128/best.pth.tar
gaussian_linear_linear_compressai_M16_lmbda1024,gaussian,linear,linear,linear,4,4,1024.0,20000,4.726366996765137,0.0020753061398843036,0.0020753061398863792,6.851480484008789,checkpoint/rd_sweep_normnone/gaussian_linear_linear_compressai_M16_lmbda1024/best.pth.tar
gaussian_linear_linear_compressai_M16_lmbda8192,gaussian,linear,linear,linear,4,4,8192.0,20000,4.768916606903076,0.001983384368939204,0.001983384368941188,21.016801834106445,checkpoint/rd_sweep_normnone/gaussian_linear_linear_compressai_M16_lmbda8192/best.pth.tar
gaussian_encR2_decR2_compressai_M16_lmbda32,gaussian,resblock(n=2),resblock,resblock,2,2,32.0,20000,2.989170789718628,0.02258459106085426,0.022584591060876846,3.7118778228759766,checkpoint/rd_sweep_normnone/gaussian_encR2_decR2_compressai_M16_lmbda32/best.pth.tar
gaussian_encR2_decR2_compressai_M16_lmbda128,gaussian,resblock(n=2),resblock,resblock,2,2,128.0,18000,3.986086845397949,0.0057000657543483,0.005700065754354,4.715695381164551,checkpoint/rd_sweep_normnone/gaussian_encR2_decR2_compressai_M16_lmbda128/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda32,gaussian,resblock(n=2)/linear,resblock,linear,2,4,32.0,20000,2.989492654800415,0.02254718914625774,0.02254718914628029,3.711002826690674,checkpoint/rd_sweep_normnone/gaussian_encR2_decLinear_compressai_M16_lmbda32/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda128,gaussian,resblock(n=2)/linear,resblock,linear,2,4,128.0,20000,3.989149808883667,0.005641553085291704,0.005641553085297346,4.711268424987793,checkpoint/rd_sweep_normnone/gaussian_encR2_decLinear_compressai_M16_lmbda128/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda1024,gaussian,resblock(n=2)/linear,resblock,linear,2,4,1024.0,20000,5.4858832359313965,0.0007090791477814676,0.0007090791477821767,6.21198034286499,checkpoint/rd_sweep_normnone/gaussian_encR2_decLinear_compressai_M16_lmbda1024/best.pth.tar
gaussian_encR2_decLinear_compressai_M16_lmbda8192,gaussian,resblock(n=2)/linear,resblock,linear,2,4,8192.0,20000,6.776476860046387,0.00012271256127848124,0.00012271256127860397,7.78173828125,checkpoint/rd_sweep_normnone/gaussian_encR2_decLinear_compressai_M16_lmbda8192/best.pth.tar
gaussian_rht_rht_compressai_M16_lmbda32,gaussian,rht,rht,rht,4,4,32.0,12000,3.026538610458374,0.021991895511724414,0.021991895511746407,3.7302792072296143,checkpoint/rd_sweep_normnone/gaussian_rht_rht_compressai_M16_lmbda32/best.pth.tar
