run,dataset,transform,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_affine-affine_compressai_M16_lmbda32,gaussian,affine,32.0,15000,2.9915835857391357,0.02250251732764378,0.022502517327666283,3.7116641998291016,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda32/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda64,gaussian,affine,64.0,20000,3.4860711097717285,0.01132941711692869,0.011329417116940022,4.211153984069824,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda64/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda128,gaussian,affine,128.0,20000,3.652268409729004,0.00899275206028516,0.008992752060294151,4.803340911865234,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda128/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda256,gaussian,affine,256.0,20000,3.702749252319336,0.008385268039993007,0.008385268040001392,5.849377632141113,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda256/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda1024,gaussian,affine,1024.0,20000,3.7655510902404785,0.007686815690241517,0.007686815690249205,11.636850357055664,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda1024/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda8192,gaussian,affine,8192.0,20000,3.765777111053467,0.007684427779160206,0.0076844277791678905,66.71660614013672,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda8192/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda32,gaussian,linear,32.0,20000,2.9894320964813232,0.022546987980581624,0.022546987980604172,3.710935592651367,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda32/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda64,gaussian,linear,64.0,20000,3.4893903732299805,0.01127133425324028,0.011271334253251553,4.210755825042725,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda64/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda128,gaussian,linear,128.0,20000,3.9892446994781494,0.005637872964138114,0.005637872964143753,4.710892677307129,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda128/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda256,gaussian,linear,256.0,20000,4.428691387176514,0.003067189827558311,0.0030671898275613785,5.213891983032227,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda256/best.pth.tar
