run,dataset,transform,lmbda,iter,bpp,mse_normed,recon_loss,loss,ckpt
gaussian_affine-affine_compressai_M16_lmbda32,gaussian,affine,32.0,2000,3.2207462787628174,0.05337952822441485,0.05337952822446823,4.928891181945801,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda32/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda64,gaussian,affine,64.0,2000,3.2320141792297363,0.05335876718158154,0.0533587671816349,6.646975517272949,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda64/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda128,gaussian,affine,128.0,2000,3.2375802993774414,0.05335636809462933,0.053356368094682693,10.067195892333984,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda128/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda256,gaussian,affine,256.0,2000,3.240168333053589,0.05335384979838757,0.05335384979844093,16.898754119873047,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda256/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda1024,gaussian,affine,1024.0,2000,3.242046356201172,0.053348965942806297,0.05334896594285965,57.87138748168945,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda1024/best.pth.tar
gaussian_affine-affine_compressai_M16_lmbda8192,gaussian,affine,8192.0,2000,3.2429022789001465,0.053347639739460044,0.0533476397395134,440.2667541503906,checkpoint/rd_sweep/gaussian_affine-affine_compressai_M16_lmbda8192/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda32,gaussian,linear,32.0,2000,2.885162353515625,0.18686360120754628,0.18686360120773315,8.864797592163086,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda32/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda64,gaussian,linear,64.0,2000,2.8858437538146973,0.18670195341091558,0.1867019534111023,14.834768295288086,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda64/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda128,gaussian,linear,128.0,2000,2.8863656520843506,0.18666131794434,0.18666131794452667,26.779014587402344,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda128/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda256,gaussian,linear,256.0,2000,2.886711835861206,0.18664787709694317,0.18664787709712982,50.6685676574707,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda256/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda1024,gaussian,linear,1024.0,2000,2.8872644901275635,0.18663609027843883,0.1866360902786255,194.00262451171875,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda1024/best.pth.tar
gaussian_linear-linear_compressai_M16_lmbda8192,gaussian,linear,8192.0,2000,2.8902578353881836,0.1866369098423045,0.18663690984249115,1531.81982421875,checkpoint/rd_sweep/gaussian_linear-linear_compressai_M16_lmbda8192/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda32,gaussian,resblock,32.0,1000,4.636386394500732,0.0073946379125044304,0.0073946379125118256,4.8730149269104,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda32/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda64,gaussian,resblock,64.0,1000,4.693154811859131,0.006332115270191059,0.0063321152701973915,5.098410129547119,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda64/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda128,gaussian,resblock,128.0,2000,4.396660804748535,0.004712599795306976,0.004712599795311689,4.999873638153076,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda128/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda256,gaussian,resblock,256.0,2000,4.5424275398254395,0.0038254684768578894,0.0038254684768617153,5.521747589111328,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda256/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda1024,gaussian,resblock,1024.0,2000,4.655621528625488,0.003410750301551388,0.003410750301554799,8.148229598999023,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda1024/best.pth.tar
gaussian_resblock-resblock_compressai_M16_lmbda8192,gaussian,resblock,8192.0,2000,4.682204723358154,0.003609726671125855,0.003609726671129465,34.25308609008789,checkpoint/rd_sweep/gaussian_resblock-resblock_compressai_M16_lmbda8192/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda32,gaussian,rht,32.0,2000,2.9976935386657715,1.3842579126344188,1.3842579126358032,47.2939453125,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda32/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda64,gaussian,rht,64.0,2000,2.997340440750122,1.384254693983601,1.3842546939849854,91.58963775634766,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda64/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda128,gaussian,rht,128.0,2000,2.9972212314605713,1.3842481374726756,1.38424813747406,180.1809844970703,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda128/best.pth.tar
gaussian_rht-rht_compressai_M16_lmbda256,gaussian,rht,256.0,2000,2.997243642807007,1.3842495679841502,1.3842495679855347,357.3651428222656,checkpoint/rd_sweep/gaussian_rht-rht_compressai_M16_lmbda256/best.pth.tar
