iter,Test BPP,Test MSE,Best Loss,Best MSE
1,8.0,2107362436121566.0,8.0,2107362436121566.0
10000,4.016,4.422823889569385,4.016,4.422823889569385
20000,4.006,5.14413573839715,4.006,4.422823889569385
30000,4.008,5.021543099320899,4.006,4.422823889569385
40000,4.016,4.6474013700500425,4.006,4.422823889569385
50000,4.016,3.8018504012275334,4.006,3.8018504012275334
60000,4.012,3.2691515070960784,4.006,3.2691515070960784
70000,4.012,2.9360381339517327,4.006,2.9360381339517327
80000,4.012,2.6786031132315005,4.006,2.6786031132315005
90000,4.014,2.5598471610189226,4.006,2.5598471610189226
100000,4.014,2.3238143455831306,4.006,2.3238143455831306
110000,4.014,2.135033663364331,4.006,2.135033663364331
120000,4.012,2.000114605219358,4.006,2.000114605219358
130000,4.014,1.8592758053785448,4.006,1.8592758053785448
140000,4.012,1.7461908511155537,4.006,1.7461908511155537
150000,4.014,1.700499015521639,4.006,1.700499015521639
