iter,Test Loss,Test MSE,Best Loss,Best MSE
1,20339.335440293195,1.5808677399380016,20339.335440293195,1.5808677399380016
10000,7800.014125915527,12181.848869167576,7800.014125915527,1.5808677399380016
20000,7655.800332504273,12547.240734938467,7655.800332504273,1.5808677399380016
30000,4988.76689531064,15025.198002258683,4988.76689531064,1.5808677399380016
40000,4144.093581420183,16721.139877518013,4144.093581420183,1.5808677399380016
50000,3877.0651251444815,16151.335222411672,3877.0651251444815,1.5808677399380016
60000,3956.453107762337,16665.158058932946,3877.0651251444815,1.5808677399380016
70000,3822.9775277707577,16603.04770070788,3822.9775277707577,1.5808677399380016
80000,3790.9045370784997,15885.086036330056,3790.9045370784997,1.5808677399380016
90000,3705.466159957886,15993.975410307055,3705.466159957886,1.5808677399380016
100000,3940.2080219790937,16768.822582464054,3705.466159957886,1.5808677399380016
110000,3825.212518388629,16095.102782663367,3705.466159957886,1.5808677399380016
120000,3958.543691598654,17236.916252039577,3705.466159957886,1.5808677399380016
130000,3819.4891379132273,15631.014772914721,3705.466159957886,1.5808677399380016
140000,3830.901143958092,15828.679397884105,3705.466159957886,1.5808677399380016
150000,3840.751080696583,15249.743368422685,3705.466159957886,1.5808677399380016
160000,4010.26387327528,15685.610642187265,3705.466159957886,1.5808677399380016
170000,3816.0890761556625,15440.37796947974,3705.466159957886,1.5808677399380016
180000,4167.90423511076,16417.493312369326,3705.466159957886,1.5808677399380016
190000,4093.3830845971106,15946.543545686587,3705.466159957886,1.5808677399380016
200000,3939.0850605328083,16408.471948421124,3705.466159957886,1.5808677399380016
210000,3997.1693642745017,14704.692696212624,3705.466159957886,1.5808677399380016
