module_name,module_type,original_shape,matrix_shape,padded_shape,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",0,13,9408,320.0,64456.90625,6.263369750976563,6.851286803784014,,,,6.189773557707667e-06,0.019183434545993805,0.0003883711469825357,0.7797
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,232759.640625,6.282759348551433,6.314009348551433,,,,1.1574973086680984e-06,0.02011491358280182,0.0004059513157699257,0.1928
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,235032.046875,6.344402313232422,6.375652313232422,,,,8.315399782077293e-07,0.020170757547020912,0.0004070058057550341,0.2291
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,234084.3125,6.318693372938368,6.349943372938368,,,,1.0691904890336446e-06,0.02031794749200344,0.0004137431678827852,0.1949
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,235411.875,6.354705810546875,6.385955810546875,,,,7.845509912840498e-07,0.020133603364229202,0.00040568402619101107,0.1735
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",0,0,73728,1152.0,468983.375,6.345369127061632,6.360994127061632,,,,6.921767976564297e-07,0.01999528519809246,0.00040029469528235495,0.2424
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,937713.75,6.3436533610026045,6.3592783610026045,,,,4.727901057322015e-07,0.020202450454235077,0.0004086854460183531,0.188
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",0,0,8192,128.0,52141.42578125,6.349295139312744,6.364920139312744,,,,1.954562776518287e-06,0.0197845920920372,0.00039190807729028165,0.1915
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,938485.6875,6.348888397216797,6.364513397216797,,,,4.67576086293775e-07,0.019991381093859673,0.0004004530201200396,0.183
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,939762.875,6.357549879286024,6.373174879286024,,,,3.718812138231442e-07,0.020274747163057327,0.00041179996333085,0.2649
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",0,0,294912,2304.0,1862067.0,6.306162516276042,6.313975016276042,,,,3.583282932595466e-07,0.02058514580130577,0.00042468681931495667,0.3889
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3743452.0,6.338914659288195,6.346727159288195,,,,2.6255818852405355e-07,0.020448461174964905,0.0004185499274171889,0.5505
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",0,0,32768,256.0,210120.703125,6.404562473297119,6.412374973297119,,,,4.220547964450816e-07,0.019687481224536896,0.0003888687351718545,0.4605
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3751542.0,6.352630615234375,6.360443115234375,,,,2.075683482871682e-07,0.020318660885095596,0.000415125978179276,0.208
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,3749412.5,6.349020216200087,6.356832716200087,,,,1.7904395122059213e-07,0.020421231165528297,0.0004190533945802599,0.3424
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",0,0,1179648,4608.0,7492383.5,6.34746593899197,6.35137218899197,,,,1.6836594340929878e-07,0.02058316580951214,0.00042629000381566584,0.6111
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,15048346.0,6.374414232042101,6.378320482042101,,,,1.2630786727640952e-07,0.02045612595975399,0.0004208159225527197,0.5251
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",0,0,131072,512.0,839963.5625,6.404507160186768,6.408413410186768,,,,4.1984759491242585e-07,0.019758671522140503,0.00039066135650500655,0.3799
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,15006401.0,6.35663562350803,6.36054187350803,,,,1.3671269982751255e-07,0.020573768764734268,0.0004300825239624828,0.8107
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,14870733.0,6.299132029215495,6.303038279215495,,,,7.489405362548496e-08,0.02072960138320923,0.0004297433770261705,0.6522
fc,Linear,"[1000, 512]","[1000, 512]","[1000, 512]",0,0,512000,1024.0,3283086.0,6.41027734375,6.41227734375,,,,1.8889290913648438e-06,0.019787032157182693,0.00039152405224740505,0.5894
