module_name,module_type,original_shape,matrix_shape,padded_shape,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",0,13,9408,320.0,24254.296875,2.3373336791992188,2.5780502630739797,,,,0.0004666899621952325,0.16657249629497528,0.02775341272354126,0.7394
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,87570.0859375,2.3442406124538846,2.3754906124538846,,,,9.079189476324245e-05,0.17814840376377106,0.03184204548597336,0.3405
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,95320.984375,2.5544971889919705,2.5857471889919705,,,,7.332144741667435e-05,0.189407080411911,0.0358879379928112,0.224
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,92266.1328125,2.4716290367974176,2.5028790367974176,,,,9.160216723103076e-05,0.18806372582912445,0.035447169095277786,0.2284
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,95855.4140625,2.5689945220947266,2.6002445220947266,,,,6.952954572625458e-05,0.18953774869441986,0.03595307841897011,0.1978
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",0,0,73728,1152.0,189397.34375,2.5532408820258246,2.5688658820258246,,,,6.16113466094248e-05,0.1886468231678009,0.03563062474131584,0.2289
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,375956.96875,2.5339963701036243,2.5496213701036243,,,,4.1491286538075656e-05,0.1892555058002472,0.03586556389927864,0.1788
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",0,0,8192,128.0,19699.58984375,2.3891100883483887,2.4047350883483887,,,,0.00017802708316594362,0.18881888687610626,0.03569609299302101,0.176
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,377711.0625,2.545892079671224,2.561517079671224,,,,4.193927816231735e-05,0.18933328986167908,0.035918671637773514,0.1922
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,387470.71875,2.6120789845784507,2.6277039845784507,,,,3.240740261389874e-05,0.18926730751991272,0.03588610514998436,0.2226
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",0,0,294912,2304.0,757801.625,2.5617730882432728,2.5695855882432728,,,,3.014274625456892e-05,0.18880127370357513,0.03572485223412514,0.5608
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,1532050.25,2.589657677544488,2.597470177544488,,,,2.25125713768648e-05,0.1893479824066162,0.03588779270648956,0.3578
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",0,0,32768,256.0,84740.65625,2.5782670974731445,2.5860795974731445,,,,3.861675213556737e-05,0.18831883370876312,0.03558032587170601,0.402
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,1544305.375,2.610435273912218,2.618247773912218,,,,1.7937098164111376e-05,0.18888184428215027,0.03587326407432556,0.2876
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,1554419.25,2.627582550048828,2.635395050048828,,,,1.5317940778913908e-05,0.18888719379901886,0.03585173189640045,0.4027
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",0,0,1179648,4608.0,3133729.5,2.6525891621907554,2.6564954121907554,,,,1.4189701687428169e-05,0.18896158039569855,0.035927269607782364,0.8952
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,6312906.0,2.6718521118164062,2.6757583618164062,,,,1.0809976629388984e-05,0.18924526870250702,0.036015260964632034,0.5491
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",0,0,131072,512.0,340161.40625,2.5913193225860596,2.5952255725860596,,,,3.8757694710511714e-05,0.18984149396419525,0.03606340289115906,0.3532
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,6356249.0,2.6902232699924045,2.6941295199924045,,,,1.1425202501413878e-05,0.18808144330978394,0.03594237565994263,0.6299
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,6247670.5,2.6442017025417752,2.6481079525417752,,,,6.213688266143436e-06,0.18882033228874207,0.035654254257678986,1.0131
fc,Linear,"[1000, 512]","[1000, 512]","[1000, 512]",0,0,512000,1024.0,1325681.0,2.587220703125,2.589220703125,,,,0.00017419618961866945,0.1900172233581543,0.0361061729490757,0.4505
