module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 147]",False,,,,0,0,9408,294.0,26199.55078125,2.753566196986607,2.784816196986607,,,,0.0003117845917586237,0.1361495703458786,0.018534740433096886,0.7592
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,101447.2578125,2.7206829918755426,2.7519329918755426,,,,5.4981366702122614e-05,0.13863275945186615,0.019282767549157143,0.5497
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,109063.4609375,2.9272857242160373,2.9585357242160373,,,,4.411311965668574e-05,0.14691442251205444,0.02159161865711212,0.4195
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,105977.3828125,2.84357049730089,2.87482049730089,,,,5.612012682831846e-05,0.1472012847661972,0.021716730669140816,0.4
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",False,,,,0,0,36864,1152.0,109608.3359375,2.942066404554579,2.973316404554579,,,,4.124553015572019e-05,0.1459820419549942,0.021327678114175797,0.1769
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",False,,,,0,0,73728,1152.0,216648.65625,2.9228604634602866,2.9384854634602866,,,,3.713505429914221e-05,0.14645734429359436,0.021475672721862793,0.5844
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,430191.21875,2.901795917087131,2.917420917087131,,,,2.499141737644095e-05,0.14688099920749664,0.02160288207232952,0.2642
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",False,,,,0,0,8192,128.0,22712.65234375,2.75691556930542,2.77254056930542,,,,0.00010852020204765722,0.14742043614387512,0.021759310737252235,0.2119
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,432187.34375,2.915333006117079,2.930958006117079,,,,2.5237321096938103e-05,0.14687174558639526,0.02161436714231968,0.2043
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",False,,,,0,0,147456,2304.0,442334.0625,2.984144846598307,2.999769846598307,,,,1.9523731680237688e-05,0.14690442383289337,0.021619465202093124,0.8672
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",False,,,,0,0,294912,2304.0,867892.4375,2.935073640611437,2.942886140611437,,,,1.8277652998222038e-05,0.14701922237873077,0.021662477403879166,0.461
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1750986.0,2.960845947265625,2.968658447265625,,,,1.3606535503640771e-05,0.14720509946346283,0.021690484136343002,0.207
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",False,,,,0,0,32768,256.0,96679.7421875,2.9426190853118896,2.9504315853118896,,,,2.362152372370474e-05,0.1472853720188141,0.02176416665315628,0.457
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1762152.625,2.979778077867296,2.987590577867296,,,,1.0868349818338174e-05,0.14702647924423218,0.021736139431595802,0.1809
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",False,,,,0,0,589824,4608.0,1774742.125,3.001122580634223,3.008935080634223,,,,9.260180377168581e-06,0.14686304330825806,0.021673504263162613,0.6369
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",False,,,,0,0,1179648,4608.0,3576027.25,3.0275296105278864,3.0314358605278864,,,,8.579768291383516e-06,0.14693453907966614,0.02172333560883999,0.4351
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,7187389.5,3.042506535847982,3.046412785847982,,,,6.516615485452348e-06,0.14693482220172882,0.021711202338337898,1.2789
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",False,,,,0,0,131072,512.0,387592.125,2.9531869888305664,2.9570932388305664,,,,2.3231859813677147e-05,0.14697860181331635,0.021616868674755096,0.5625
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,7238171.5,3.064030753241645,3.067937003241645,,,,6.89374610374216e-06,0.14609754085540771,0.021686935797333717,0.5638
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",False,,,,0,0,2359296,9216.0,7154787.0,3.0286877950032554,3.0325940450032554,,,,3.7817562770214863e-06,0.14730572700500488,0.02169978618621826,0.7691
fc,Linear,"[1000, 512]","[1000, 512]","[1008, 512]",False,,,,8,0,512000,1024.0,1521952.375,2.94698733375186,2.972563232421875,,,,0.00010333902901038527,0.1463542878627777,0.021421531215310097,0.381
