module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 147]",True,147,6422528,16,0,0,9408,294.0,28540.92578125,3.0024368389934097,3.0336868389934097,,,,0.0002806275733746588,0.12916775047779083,0.016682540997862816,0.6361
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,110111.8828125,2.955725987752279,2.986975987752279,,,,4.89789126731921e-05,0.13084664940834045,0.01717762090265751,0.5032
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,114650.921875,3.0788553025987415,3.1101053025987415,,,,3.966671647503972e-05,0.1393137127161026,0.01941528357565403,0.2616
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,112939.890625,3.032440609402127,3.063690609402127,,,,5.0000064220512286e-05,0.13894324004650116,0.01934845559298992,0.268
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,114698.3671875,3.080142339070638,3.111392339070638,,,,3.740382453543134e-05,0.1390172839164734,0.01934116892516613,0.2265
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",True,576,401408,16,0,0,73728,1152.0,228479.578125,3.083327611287435,3.098952611287435,,,,3.339821341796778e-05,0.13889317214488983,0.019314611330628395,0.2384
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,455278.8125,3.0719320509168835,3.0875570509168835,,,,2.2254833311308175e-05,0.1386059820652008,0.019237346947193146,0.2206
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",True,64,401408,16,0,0,8192,128.0,24137.7890625,2.930882453918457,2.946507453918457,,,,9.728722943691537e-05,0.13958224654197693,0.019506994634866714,0.2336
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,455996.0,3.0767957899305554,3.0924207899305554,,,,2.2610267478739843e-05,0.1390175074338913,0.01936444267630577,0.2035
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,462157.75,3.118582831488715,3.134207831488715,,,,1.7528946045786142e-05,0.13919737935066223,0.019410550594329834,0.2973
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",True,1152,100352,16,0,0,294912,2304.0,912856.75,3.087540520562066,3.095353020562066,,,,1.6372001482523046e-05,0.13914406299591064,0.019403917714953423,0.3137
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1834456.375,3.1023633744981556,3.1101758744981556,,,,1.2181724741822109e-05,0.13928453624248505,0.01941915974020958,0.5271
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",True,128,100352,16,0,0,32768,256.0,101139.9453125,3.0787336826324463,3.0865461826324463,,,,2.128550477209501e-05,0.13981306552886963,0.01961182802915573,0.4909
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1833771.5,3.101202223036024,3.109014723036024,,,,9.754428901942447e-06,0.13928864896297455,0.019508352503180504,0.2319
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",True,2304,100352,16,0,0,589824,4608.0,1849004.5,3.127028571234809,3.134841071234809,,,,8.313594662467949e-06,0.13915424048900604,0.019458018243312836,0.3937
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",True,2304,25088,16,0,0,1179648,4608.0,3702802.75,3.134998533460829,3.138904783460829,,,,7.70897440816043e-06,0.13927848637104034,0.019518548622727394,0.6111
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,7423947.0,3.142772674560547,3.146678924560547,,,,5.856525149283698e-06,0.13929419219493866,0.019511999562382698,1.0073
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",True,256,25088,16,0,0,131072,512.0,405897.59375,3.092846632003784,3.096752882003784,,,,2.08236542675877e-05,0.139152392745018,0.01937607303261757,0.6483
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,7448195.0,3.153050316704644,3.156956566704644,,,,6.211649179022061e-06,0.13868087530136108,0.01954113505780697,1.3314
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",True,4608,25088,16,0,0,2359296,9216.0,7380075.0,3.1241772969563804,3.1280835469563804,,,,3.411533725738991e-06,0.1399097740650177,0.019575441256165504,0.7849
fc,Linear,"[1000, 512]","[1000, 512]","[1008, 512]",True,512,512,16,8,0,512000,1024.0,1588471.875,3.0758771139477927,3.102484130859375,,,,9.302431135438383e-05,0.13885821402072906,0.019288310781121254,1.1537
