module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,31342.140625,3.0295059204101564,3.331435015412415,,,,0.0007681463612243533,0.2137031853199005,0.04566878080368042,2.507
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,110863.2734375,2.9761087629530163,3.0073587629530163,,,,8.933305070968345e-05,0.17671148478984833,0.0313304103910923,3.8875
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,115459.765625,3.100796593560113,3.132046593560113,,,,6.885163020342588e-05,0.18354292213916779,0.03370014205574989,4.0522
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,113869.046875,3.0576455858018665,3.0888955858018665,,,,0.00011092866770923138,0.20695407688617706,0.042925912886857986,4.4965
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,115245.9296875,3.0949959225124783,3.1262459225124783,,,,5.662340481649153e-05,0.17104443907737732,0.029279431328177452,1.3122
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",True,576,401408,16,0,0,73728,1152.0,230414.6875,3.109574211968316,3.125199211968316,,,,7.316430128412321e-05,0.20557425916194916,0.04231184348464012,1.7089
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,456679.28125,3.0814295874701605,3.0970545874701605,,,,2.992961526615545e-05,0.1607387214899063,0.02587151899933815,8.4461
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",True,64,401408,16,0,0,8192,128.0,24167.791015625,2.934544801712036,2.950169801712036,,,,0.00013624606071971357,0.16518259048461914,0.02731860801577568,0.5772
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,457731.65625,3.088566462198893,3.104191462198893,,,,3.219012069166638e-05,0.16587379574775696,0.027569057419896126,3.6141
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,463606.34375,3.128406736585829,3.144031736585829,,,,2.2490607079816982e-05,0.1576717644929886,0.02490481175482273,8.2792
