module_name,module_type,original_shape,matrix_shape,padded_shape,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",0,13,9408,320.0,40596.3984375,3.9332420349121096,4.3150933713329085,,,,8.565447205910459e-05,0.07136151939630508,0.00515365693718195,0.5756
layer1.0.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,153524.296875,4.133363087972005,4.164613087972005,,,,1.7317473975708708e-05,0.07780376821756363,0.006073492579162121,0.2651
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,174659.875,4.706702338324653,4.737952338324653,,,,1.2613857506948989e-05,0.07856059074401855,0.006173982284963131,0.1491
layer1.1.conv1,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,168273.953125,4.533473120795356,4.564723120795356,,,,1.6057947505032644e-05,0.07874035090208054,0.006213922519236803,0.1495
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",0,0,36864,1152.0,176928.4375,4.768241034613715,4.799491034613715,,,,1.1950210137001704e-05,0.07857760041952133,0.006179342046380043,0.146
layer2.0.conv1,Conv2d,"[128, 64, 3, 3]","[128, 576]","[128, 576]",0,0,73728,1152.0,348160.09375,4.706598493787977,4.722223493787977,,,,1.073717066901736e-05,0.07875245809555054,0.006209442391991615,0.1571
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,695862.875,4.703497144911024,4.719122144911024,,,,7.1751255745766684e-06,0.07870180904865265,0.006202264688909054,0.1558
layer2.0.downsample.0,Conv2d,"[128, 64, 1, 1]","[128, 64]","[128, 64]",0,0,8192,128.0,35154.40234375,4.275683879852295,4.291308879852295,,,,3.1412178941536695e-05,0.07931428402662277,0.006298434920608997,0.1793
layer2.1.conv1,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,699635.9375,4.729084862603082,4.744709862603082,,,,7.254997399286367e-06,0.07874717563390732,0.006213503424078226,0.1627
layer2.1.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",0,0,147456,2304.0,727968.75,4.9212290445963545,4.9368540445963545,,,,5.546232841879828e-06,0.07829835265874863,0.006141581106930971,0.2286
layer3.0.conv1,Conv2d,"[256, 128, 3, 3]","[256, 1152]","[256, 1152]",0,0,294912,2304.0,1407155.125,4.763628217909071,4.771440717909071,,,,5.224560027272673e-06,0.07860291004180908,0.006192090921103954,0.316
layer3.0.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2876693.0,4.869393242730035,4.877205742730035,,,,3.879723408317659e-06,0.07860469818115234,0.006184754427522421,0.1979
layer3.0.downsample.0,Conv2d,"[256, 128, 1, 1]","[256, 128]","[256, 128]",0,0,32768,256.0,158888.65625,4.8410844802856445,4.8488969802856445,,,,6.65637026031618e-06,0.07818521559238434,0.0061329808086156845,0.2246
layer3.1.conv1,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2910574.75,4.9268370734320746,4.9346495734320746,,,,3.088026687692036e-06,0.0783708244562149,0.006175893824547529,0.1651
layer3.1.conv2,Conv2d,"[256, 256, 3, 3]","[256, 2304]","[256, 2304]",0,0,589824,4608.0,2934903.25,4.968084123399523,4.975896623399523,,,,2.630593371577561e-06,0.07827615737915039,0.006156919524073601,0.195
layer4.0.conv1,Conv2d,"[512, 256, 3, 3]","[512, 2304]","[512, 2304]",0,0,1179648,4608.0,5951752.0,5.041456434461805,5.045362684461805,,,,2.42541227635229e-06,0.07812295109033585,0.006140963640064001,0.3234
layer4.0.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,12060390.0,5.107953389485677,5.111859639485677,,,,1.8453439452059683e-06,0.07819005846977234,0.00614807428792119,0.3219
layer4.0.downsample.0,Conv2d,"[512, 256, 1, 1]","[512, 256]","[512, 256]",0,0,131072,512.0,641372.4375,4.889377117156982,4.893283367156982,,,,6.603820111195091e-06,0.07836271822452545,0.0061447471380233765,0.2437
layer4.1.conv1,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,12122268.0,5.1341807047526045,5.1380869547526045,,,,1.9489816622808576e-06,0.07768147438764572,0.006131273228675127,0.4487
layer4.1.conv2,Conv2d,"[512, 512, 3, 3]","[512, 4608]","[512, 4608]",0,0,2359296,9216.0,11709002.0,4.959015740288629,4.962921990288629,,,,1.0709792377383565e-06,0.07839018106460571,0.006145297084003687,0.3066
fc,Linear,"[1000, 512]","[1000, 512]","[1000, 512]",0,0,512000,1024.0,2514898.75,4.90991162109375,4.91191162109375,,,,2.9839236958650872e-05,0.07864420115947723,0.006184868980199099,0.3233
