module_name,module_type,original_shape,matrix_shape,padded_shape,used_hessian,hessian_input_dim,hessian_sample_count,hessian_batch_count,pad_rows,pad_cols,num_params,metadata_bits,estimated_bits,estimated_bpp,estimated_bits_per_param,actual_bits,actual_bpp,actual_bits_per_param,mse,relative_l2,mse_normed,elapsed_sec
conv1,Conv2d,"[64, 3, 7, 7]","[64, 147]","[64, 160]",True,147,6422528,16,0,13,9408,320.0,29099.888671875,2.810536003112793,3.0931004115513394,,,,0.004171020817011595,0.239874467253685,0.057552117854356766,1.6217
layer1.0.conv1,Conv2d,"[64, 64, 1, 1]","[64, 64]","[64, 64]",True,64,1605632,16,0,0,4096,128.0,11155.8935546875,2.692356824874878,2.723606824874878,,,,0.0011639762669801712,0.20260727405548096,0.0413818396627903,1.1888
layer1.0.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,103059.3359375,2.7644134097629123,2.7956634097629123,,,,0.00023292656987905502,0.19943159818649292,0.03980531916022301,1.4092
layer1.0.conv3,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,46504.875,2.8306198120117188,2.8384323120117188,,,,0.0004556709318421781,0.22895917296409607,0.052472665905952454,0.4784
layer1.0.downsample.0,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,44956.28515625,2.7361013889312744,2.7439138889312744,,,,0.0008165580220520496,0.20156773924827576,0.04076787084341049,0.3784
layer1.1.conv1,Conv2d,"[64, 256, 1, 1]","[64, 256]","[64, 256]",True,256,1605632,16,0,0,16384,512.0,46990.796875,2.8368406295776367,2.8680906295776367,,,,0.0003442773304414004,0.21820910274982452,0.04768865928053856,0.5965
layer1.1.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,104832.640625,2.812517378065321,2.843767378065321,,,,0.00021196558373048902,0.19329780340194702,0.037363842129707336,0.8291
layer1.1.conv3,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,45916.41796875,2.794703245162964,2.802515745162964,,,,0.000259740132605657,0.18056684732437134,0.032756660133600235,0.316
layer1.2.conv1,Conv2d,"[64, 256, 1, 1]","[64, 256]","[64, 256]",True,256,1605632,16,0,0,16384,512.0,47840.07421875,2.888676404953003,2.919926404953003,,,,0.00023435144976247102,0.19871166348457336,0.03955255448818207,0.7959
layer1.2.conv2,Conv2d,"[64, 64, 3, 3]","[64, 576]","[64, 576]",True,576,1605632,16,0,0,36864,1152.0,107320.4140625,2.8800025516086154,2.9112525516086154,,,,0.00016947602853178978,0.18934793770313263,0.03585626557469368,1.2693
layer1.2.conv3,Conv2d,"[256, 64, 1, 1]","[256, 64]","[256, 64]",True,64,1605632,16,0,0,16384,128.0,46183.05078125,2.8109772205352783,2.8187897205352783,,,,0.00021317118080332875,0.18607601523399353,0.03484613075852394,0.3809
layer2.0.conv1,Conv2d,"[128, 256, 1, 1]","[128, 256]","[128, 256]",True,256,1605632,16,0,0,32768,512.0,93579.984375,2.840209484100342,2.855834484100342,,,,0.0002959987032227218,0.19028759002685547,0.036334242671728134,0.4975
layer2.0.conv2,Conv2d,"[128, 128, 3, 3]","[128, 1152]","[128, 1152]",True,1152,401408,16,0,0,147456,2304.0,428293.0625,2.8889232211642795,2.9045482211642795,,,,7.571564492536709e-05,0.1836875081062317,0.0337512232363224,2.4764
layer2.0.conv3,Conv2d,"[512, 128, 1, 1]","[512, 128]","[512, 128]",True,128,401408,16,0,0,65536,256.0,183757.171875,2.8000056743621826,2.8039119243621826,,,,0.00013806388597004116,0.18257255852222443,0.03333422541618347,0.7771
