/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
11:39:55 INFO - test: File name: 0, MSE: 0.21417381422653559, BPP: 2.234375
11:39:55 INFO - test: File name: 1, MSE: 0.20653046320399435, BPP: 2.3125
11:39:55 INFO - test: File name: 2, MSE: 0.18868034482188975, BPP: 2.15625
11:39:55 INFO - test: File name: 3, MSE: 0.22067286891630666, BPP: 2.3125
11:39:56 INFO - test: File name: 4, MSE: 0.17716703451140034, BPP: 2.1015625
11:39:56 INFO - test: File name: 5, MSE: 0.21462295546034263, BPP: 2.3125
11:39:56 INFO - test: File name: 6, MSE: 0.19104491879310048, BPP: 2.1875
11:39:56 INFO - test: File name: 7, MSE: 0.17640725792280534, BPP: 2.109375
11:39:56 INFO - test: File name: 8, MSE: 0.16868633923184032, BPP: 2.0625
11:39:57 INFO - test: File name: 9, MSE: 0.1603315318654909, BPP: 2.0625
11:39:57 INFO - test: File name: 10, MSE: 0.18958499097457196, BPP: 2.1953125
11:39:57 INFO - test: File name: 11, MSE: 0.2975317796363893, BPP: 2.5859375
11:39:57 INFO - test: File name: 12, MSE: 0.13995603338433596, BPP: 1.75
11:39:57 INFO - test: File name: 13, MSE: 0.18960149279401803, BPP: 2.2109375
11:39:58 INFO - test: File name: 14, MSE: 0.16943754581475615, BPP: 2.0859375
11:39:58 INFO - test: File name: 15, MSE: 0.19002791439574795, BPP: 2.203125
11:39:58 INFO - test: File name: 16, MSE: 0.19088031998189653, BPP: 2.1953125
11:39:58 INFO - test: File name: 17, MSE: 0.18732870905384758, BPP: 2.171875
11:39:58 INFO - test: File name: 18, MSE: 0.19975866352497004, BPP: 2.2421875
11:39:59 INFO - test: File name: 19, MSE: 0.22160625193909606, BPP: 2.40625
11:39:59 INFO - test: File name: 20, MSE: 0.17902118259117067, BPP: 2.109375
11:39:59 INFO - test: File name: 21, MSE: 0.19066851320323858, BPP: 2.203125
11:39:59 INFO - test: File name: 22, MSE: 0.19185578720278704, BPP: 2.234375
11:39:59 INFO - test: File name: 23, MSE: 0.1834566528496162, BPP: 2.1328125
11:40:00 INFO - test: File name: 24, MSE: 0.16961660423128688, BPP: 2.0234375
11:40:00 INFO - test: File name: 25, MSE: 0.22048697272928722, BPP: 2.3671875
11:40:00 INFO - test: File name: 26, MSE: 0.18668296824294944, BPP: 2.1640625
11:40:00 INFO - test: File name: 27, MSE: 0.1716824314513327, BPP: 2.0703125
11:40:01 INFO - test: File name: 28, MSE: 0.19023880947167407, BPP: 2.2265625
11:40:01 INFO - test: File name: 29, MSE: 0.19119828542664835, BPP: 2.28125
11:40:01 INFO - test: File name: 30, MSE: 0.18794007867175583, BPP: 2.140625
11:40:01 INFO - test: File name: 31, MSE: 0.17638450182261897, BPP: 2.1328125
11:40:01 INFO - test: File name: 32, MSE: 0.1695211854233739, BPP: 2.046875
11:40:02 INFO - test: File name: 33, MSE: 0.18425705491194141, BPP: 2.1875
11:40:02 INFO - test: File name: 34, MSE: 0.17832340178833989, BPP: 2.1484375
11:40:02 INFO - test: File name: 35, MSE: 0.19542565041952717, BPP: 2.2265625
11:40:02 INFO - test: File name: 36, MSE: 0.19737521730721047, BPP: 2.265625
11:40:02 INFO - test: File name: 37, MSE: 0.20011032550269017, BPP: 2.25
11:40:03 INFO - test: File name: 38, MSE: 0.19037487198737188, BPP: 2.15625
11:40:03 INFO - test: File name: 39, MSE: 0.20547679012276773, BPP: 2.140625
11:40:03 INFO - test: File name: 40, MSE: 0.1626673872006491, BPP: 2.0078125
11:40:03 INFO - test: File name: 41, MSE: 0.1902403228982089, BPP: 2.1640625
11:40:03 INFO - test: File name: 42, MSE: 0.1803856733677316, BPP: 2.109375
11:40:04 INFO - test: File name: 43, MSE: 0.1904120694588304, BPP: 2.203125
11:40:04 INFO - test: File name: 44, MSE: 0.18704482305721143, BPP: 2.171875
11:40:04 INFO - test: File name: 45, MSE: 0.19810116972445468, BPP: 2.2421875
11:40:04 INFO - test: File name: 46, MSE: 0.1728043910671731, BPP: 2.1484375
11:40:04 INFO - test: File name: 47, MSE: 0.19410479373571146, BPP: 2.171875
11:40:05 INFO - test: File name: 48, MSE: 0.18536820173338237, BPP: 2.1328125
11:40:05 INFO - test: File name: 49, MSE: 0.206748706603939, BPP: 2.1953125
11:40:05 INFO - test: File name: 50, MSE: 0.2047202774299527, BPP: 2.328125
11:40:05 INFO - test: File name: 51, MSE: 0.1809550317237573, BPP: 2.125
11:40:05 INFO - test: File name: 52, MSE: 0.1866799960920437, BPP: 2.2109375
11:40:06 INFO - test: File name: 53, MSE: 0.18992532960436284, BPP: 2.1640625
11:40:06 INFO - test: File name: 54, MSE: 0.18879286717305177, BPP: 2.171875
11:40:06 INFO - test: File name: 55, MSE: 0.1769151492806513, BPP: 2.078125
11:40:06 INFO - test: File name: 56, MSE: 0.19754466637694776, BPP: 2.1875
11:40:06 INFO - test: File name: 57, MSE: 0.18489703376157438, BPP: 2.1015625
11:40:07 INFO - test: File name: 58, MSE: 0.17558050765153038, BPP: 2.09375
11:40:07 INFO - test: File name: 59, MSE: 0.19584723999677842, BPP: 2.1875
11:40:07 INFO - test: File name: 60, MSE: 0.21180245718700003, BPP: 2.3359375
