Model,Experiment,bpp,ppl_wikitext2,ppl_c4,arc_challenge,arc_easy,boolq,piqa,winogrande,hellaswag,mmlu,mathqa,openbookqa,pubmedqa,sciq,zeroshot_avg,commonsense,commonsense_,mmlu_avg
Llama3-8B,ql_ldlq128_rnorm_ft,2.3015328621482833,8.403983116149902,11.731051445007324,0.4052901023890785,0.7424242424242424,0.8012232415902141,0.764961915125136,0.7048145224940805,0.5258912567217686,0.4967241133741632,0.32663316582914576,0.272,0.728,0.957,0.6837428048045503,0.65743421345742,0.6286764078308613,0.4967241133741632
Llama3-8B,ql_ldlq128_rnorm_ft,2.6693616848877775,7.251631259918213,10.42491340637207,0.45819112627986347,0.7887205387205387,0.8058103975535168,0.7769314472252449,0.7261247040252565,0.5609440350527783,0.5519868964534966,0.36214405360134005,0.318,0.714,0.962,0.711155642760884,0.6861203748095331,0.6621823702607363,0.5519868964534966
Llama3-8B,ql_ldlq128_rnorm_ft,2.9666457464202094,6.873813152313232,9.83371353149414,0.4803754266211604,0.7882996632996633,0.8207951070336391,0.7845484221980413,0.7261247040252565,0.5786695877315275,0.5853154821250535,,,,,0.7200286646355523,0.6964688184848814,0.6716035607751298,0.5853154821250535
Llama3-8B,ql_ldlq128_rnorm_ft,3.16721133423002,6.6762261390686035,9.59599781036377,0.4709897610921502,0.7992424242424242,0.8134556574923547,0.7894450489662677,0.7371744277821626,0.5844453296156145,0.6019085600341831,0.3798994974874372,0.342,0.702,0.963,0.7220614639150719,0.699125441531829,0.6762593983397238,0.6019085600341831
Llama3-8B,ql_ldlq128_rnorm_ft,3.954826640797994,6.31689453125,9.087160110473633,0.5059726962457338,0.8009259259259259,0.8085626911314985,0.794341675734494,0.7482241515390686,0.5956980681139216,0.6187864976499075,0.3916247906197655,0.344,0.732,0.967,0.7316054281153441,0.7089542014484403,0.6890325035118289,0.6187864976499075
Llama3-8B,ql_ldlq128_rnorm_ft,4.778575841229982,6.193994998931885,8.944413185119629,0.5093856655290102,0.8005050505050505,0.8064220183486238,0.7981501632208923,0.7419100236779794,0.5987851025692094,0.6198547215496368,,,,,0.7312745842563112,0.7091930039751276,0.6897472011004284,0.6198547215496368
Llama3-8B,ql_ldlq128_rnorm_ft,5.9810235201596065,6.15234375,8.895471572875977,0.5042662116040956,0.8017676767676768,0.8171253822629969,0.795429815016322,0.7316495659037096,0.6020713005377415,0.6214926648625552,,,,,0.7300477303109602,0.708718325348757,0.687036913965909,0.6214926648625552
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,2.307165962429001,8.397367477416992,11.709098815917969,0.41723549488054607,0.7508417508417509,0.7963302752293578,0.76550598476605,0.7190213101815311,0.5292770364469229,0.5152399943028059,,,,,0.6897869631798472,0.6630353087243598,0.6363763154233603,0.5152399943028059
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,2.6744307616295724,7.278003692626953,10.423601150512695,0.44283276450511944,0.7651515151515151,0.7972477064220184,0.780739934711643,0.7245461720599842,0.5635331607249552,0.5610311921378721,,,,,0.702103618570056,0.679008542262539,0.6553607094306433,0.5610311921378721
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,3.1727725526747794,6.6748175621032715,9.573945045471191,0.4778156996587031,0.7853535353535354,0.807645259938838,0.7856365614798694,0.7277032359905288,0.5850428201553476,0.5938612733228885,,,,,0.716830858484295,0.6948661854294703,0.6723103705275969,0.5938612733228885
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,3.95604080047745,6.30465030670166,9.085308074951172,0.49402730375426623,0.7908249158249159,0.8067278287461773,0.7905331882480957,0.7403314917127072,0.5981876120294762,0.614869676684233,,,,,0.7244889456572324,0.7034387233859398,0.6827809023138922,0.614869676684233
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,4.787318638597544,6.191165924072266,8.941031455993652,0.5093856655290102,0.8000841750841751,0.8033639143730887,0.795429815016322,0.7379636937647988,0.6000796654052978,0.6187152827232588,,,,,0.729245452753479,0.707717821528782,0.6885886029599207,0.6187152827232588
Llama3-8B,ql_ldlq128_rnorm_ft_seed2,5.977770218195824,6.150341987609863,8.897741317749023,0.4991467576791809,0.803030303030303,0.810091743119266,0.7959738846572362,0.7277032359905288,0.6010754829715196,0.6212790200826093,,,,,0.7271891848953029,0.7061702345746724,0.6853859328657537,0.6212790200826093
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,2.301512647850009,8.39807415008545,11.708356857299805,0.42406143344709896,0.752104377104377,0.807645259938838,0.7595212187159956,0.6953433307024467,0.5296753634734117,0.5259934482267483,,,,,0.6877351239817513,0.6613918305636947,0.632141144688666,0.5259934482267483
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,2.6687411657319617,7.289679050445557,10.426641464233398,0.431740614334471,0.7727272727272727,0.8018348623853211,0.7752992383025027,0.7300710339384373,0.5681139215295757,0.561814556331007,,,,,0.7023346043376011,0.6799644905362635,0.6555904161664519,0.561814556331007
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,3.1673484097879667,6.65348482131958,9.577839851379395,0.4761092150170648,0.7937710437710438,0.8174311926605504,0.7840043525571273,0.7411207576953434,0.5846444931288588,0.5994160376014813,,,,,0.722487312340226,0.6995135091383314,0.6759299724338875,0.5994160376014813
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,3.9509851203228417,6.3137688636779785,9.088510513305664,0.48890784982935154,0.7933501683501684,0.8110091743119267,0.7927094668117519,0.7300710339384373,0.5958972316271659,0.6134453781512605,,,,,0.7232095386483272,0.701990820811467,0.6801871501113749,0.6134453781512605
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,4.486463197435324,456728.375,414440.53125,,,,,,,,,,,,,,,
Llama3-8B,ql_ldlq128_rnorm_ft_seed3,4.762266031824625,6.190124034881592,8.94952392578125,0.5025597269624573,0.8063973063973064,0.8165137614678899,0.7965179542981502,0.7355958958168903,0.6005775741884087,0.6140150975644495,,,,,0.7315169289885388,0.7096937031885172,0.6883296915326426,0.6140150975644495
Llama3-8B,ft1,2.0,8.451980590820312,11.815123558044434,0.431740614334471,0.7647306397306397,0.7749235474006116,0.7551686615886833,0.6977111286503551,0.5341565425214101,0.5024213075060533,0.3326633165829146,0.292,0.728,0.952,0.6848549183409521,0.6597385223710285,0.6367015173651118,0.5024213075060533
Llama3-8B,ft1,3.0,6.679549217224121,9.572436332702637,0.4812286689419795,0.7958754208754208,0.8143730886850153,0.7916213275299239,0.7300710339384373,0.5850428201553476,0.5911551061102407,0.39061976549413735,0.346,0.732,0.963,0.7226339079941553,0.6997020600210208,0.676767854288222,0.5911551061102407
Llama3-8B,ft1,4.0,6.296860694885254,9.071606636047363,0.5017064846416383,0.8009259259259259,0.8152905198776759,0.7932535364526659,0.734017363851618,0.5977892850029874,0.6150833214641789,0.3946398659966499,0.354,0.732,0.963,0.7290387661499047,0.7071638526254186,0.6855385191749671,0.6150833214641789
Llama3-8B,ft1,5.0,6.219356060028076,8.98123836517334,0.5085324232081911,0.8042929292929293,0.8119266055045872,0.7932535364526659,0.7324388318863457,0.5983867755427206,0.6160803304372596,0.40737018425460636,0.354,0.752,0.963,0.7300888652689438,0.70813851698124,0.6873808992765704,0.6160803304372596
Llama3-8B,ft1,6.0,6.222760200500488,8.982561111450195,0.5085324232081911,0.8005050505050505,0.8134556574923547,0.794341675734494,0.7419100236779794,0.5987851025692094,0.615439396097422,0.4053601340033501,0.354,0.74,0.963,0.7317489661236138,0.7095883221978797,0.6888148551389849,0.615439396097422
Llama3-8B,ft1,7.0,6.222774982452393,8.982028007507324,0.5085324232081911,0.803030303030303,0.8116207951070337,0.79379760609358,0.7379636937647988,0.5982871937860984,,0.40569514237855947,0.354,0.74,0.965,0.7309889642407812,0.708872002498334,0.6883222439765941,
