Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
GPT-OSS 20B,FP16,base,276.96295166015625,211.93130493164065,0.4154550886277633,,,,,0.6787949110143799,0.6349049406166105,,0.5645207235436548,,,0.0,,,0.0,0.0,base,0.4513651877133106,0.7731481481481481,0.7571865443425077,0.7524483133841132,0.65982636148382,base
GPT-OSS 20B,QTIP_no_e2e,2.0,774.1656494140625,562.1603393554688,0.2778331009759012,,,,,0.4026820157979083,0.3818738633275738,,0.2372881355932203,,,0.0,,,0.0,0.0,2.0,0.227815699658703,0.2988215488215488,0.3859327217125382,0.5783460282916213,0.5224940805051302,2.0
GPT-OSS 20B,QTIP_no_e2e,3.0,483.05657958984375,509.826171875,0.3264289982075283,,,,,0.5991840420031982,0.5537248680372532,,0.3691781797464749,,,0.0,,,0.0,0.0,3.0,0.3447098976109215,0.6826599326599326,0.6498470948012233,0.6991294885745375,0.6195737963693765,3.0
GPT-OSS 20B,QTIP_no_e2e,4.0,508.2770385742188,519.2156372070312,0.3471420035849432,,,,,0.6257145724080757,0.5792858109375536,,0.4650334710155248,,,0.0,,,0.0,0.0,4.0,0.3899317406143344,0.7218013468013468,0.6908256880733945,0.721436343852013,0.6045777426992897,4.0
GPT-OSS 20B,QTIP_no_e2e,5.0,474.718994140625,502.3357849121094,0.3402708623780123,,,,,0.6352637674177356,0.5860982832444485,,0.4255804016521863,,,0.0,,,0.0,0.0,5.0,0.4061433447098976,0.7243265993265994,0.6984709480122324,0.7230685527747551,0.6243093922651933,5.0
GPT-OSS 20B,QTIP_no_e2e,6.0,495.3958129882813,545.996337890625,0.3448516231826329,,,,,0.6292991138922636,0.5818911987739918,,0.4215923657598632,,,0.0,,,0.0,0.0,6.0,0.3993174061433447,0.7171717171717171,0.6865443425076453,0.7159956474428727,0.6274664561957379,6.0
GPT-OSS 20B,QTIP_no_ft,4,,,,,,,,,,,0.5972083748753739,,,,,,,,4,,,,,,4.0
GPT-OSS 20B,QTIP_no_ft,2,699.0879516601562,407.4873046875,0.313981278629755,,,,,0.495377525291215,0.465144817514305,,0.247044580544082,,,0.0,,,0.0,0.0,2,0.2602389078498293,0.4633838383838384,0.5920489296636086,0.6142546245919478,0.5469613259668509,2.0
GPT-OSS 20B,QTIP_no_ft,3,,,0.3842859988050189,,,,,0.6223754449539709,0.5826938705958122,,0.5092579404643213,,,,,,,,3,0.3779863481228669,0.6961279461279462,0.6724770642201835,0.7236126224156693,0.6416732438831886,3.0
GPT-OSS 20B,QTIP_no_ft,5,,,0.4090818562039434,,,,,0.6588988965260306,0.6172627231390161,,0.4769975786924939,,,,,,,,5,0.4377133105802048,0.7462121212121212,0.7119266055045872,0.7459194776931447,0.6527229676400947,5.0
GPT-OSS 20B,QTIP_no_ft,6,,,0.4091814379605656,,,,,0.6633126217198115,0.6209574244266038,,0.4862555191568152,,,,,,,,6,0.4351535836177474,0.7525252525252525,0.7247706422018348,0.7442872687704026,0.65982636148382,6.0
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,2.231950549403934,,236.97544860839844,0.3503286197968532,,,,,0.5849396577740347,0.545837818111171,,0.3743056544651759,,,0.2586358378923845,,,0.0243934685682679,,30,0.3003412969283277,0.6544612794612794,0.6813455657492354,0.6942328618063112,0.5943172849250198,2.231951
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,2.5969704791891073,,250.29595947265625,0.3736307508464449,,,,,0.6258389323827608,0.5838042354600415,,0.5002136447799459,,,0.1563659403722537,,,0.0147621313417271,,50,0.3643344709897611,0.6973905723905723,0.7067278287461773,0.721436343852013,0.6393054459352802,2.59697
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search,3.123600358200692,,240.5603942871093,0.4026090420235013,,,,,0.6467831438823491,0.6060874602392078,,0.4743626264064948,,,0.0756395051762097,,,0.0072859954180271,,100,0.4155290102389078,0.7533670033670034,0.6825688073394496,0.7415669205658324,0.6408839779005525,3.1236
