dataset,transform,ortho_rel,m2m_median,participation_median,dist_to_RHT
gaussian,no_transform,0.0,16.0,1.0,1.2247449159622192
gaussian,scaling,0.08129829436809735,16.0,1.0,1.2297710180282593
gaussian,rht,0.0,1.0,16.0,0.0
gaussian,learned,0.014894480166597106,3.969304323196411,7.575772285461426,4.1321516036987305
gaussian,random_init,1.351242155917051,2.6626243591308594,11.162322998046875,6.486547946929932
llama_qproj,no_transform,0.0,16.0,1.0,1.2247449159622192
llama_qproj,scaling,0.08129829436809735,16.0,1.0,1.2297710180282593
llama_qproj,rht,0.0,1.0,16.0,0.0
llama_qproj,learned,0.015026034259737621,3.965925693511963,7.575771331787109,4.1293182373046875
llama_qproj,random_init,1.5482452046348953,2.3672003746032715,10.926664352416992,7.361388206481934
