dataset,transform,m2m_anchor,m2m_emp,pr_anchor,pr_emp,ortho_anchor,ortho_emp,dist_anchor,dist_emp
gaussian,no_transform,16.0,16.0,1.0,1.0,0.0,1.265803319938641e-07,1.2247449159622192,1.2247450351715088
gaussian,scaling,16.0,16.0,1.0,1.0,0.08129829436809735,0.08129826282576931,1.2297710180282593,1.2297711372375488
gaussian,rht,1.0,1.000000238418579,16.0,16.0,0.0,3.326477724385768e-07,0.0,0.0
gaussian,learned,3.969304323196411,3.9866738319396973,7.575772285461426,7.5306172370910645,0.014894480166597106,0.015486996768185256,4.1321516036987305,4.128795623779297
gaussian,random_init,2.6626243591308594,2.274254322052002,11.162322998046875,11.341694831848145,1.351242155917051,1.3114691509315692,6.486547946929932,3.5805482864379883
llama_qproj,no_transform,16.0,16.0,1.0,1.0,0.0,1.1941015998218063e-07,1.2247449159622192,1.2247449159622192
llama_qproj,scaling,16.0,16.0,1.0,1.0,0.08129829436809735,0.0812981557365026,1.2297710180282593,1.2297710180282593
llama_qproj,rht,1.0,1.0000003576278687,16.0,15.999999046325684,0.0,3.501475589473557e-07,0.0,0.0
llama_qproj,learned,3.965925693511963,3.983360767364502,7.575771331787109,7.53879976272583,0.015026034259737621,0.0168756082196091,4.1293182373046875,4.123237609863281
llama_qproj,random_init,2.3672003746032715,2.2424330711364746,10.926664352416992,11.178242683410645,1.5482452046348953,1.3076861589722446,7.361388206481934,3.4198122024536133
