col,sigma_c,no_transform_PR,scaling_PR,rht_PR,learned_llama_PR,learned_gauss_PR,random_init_PR
0,1.0600165,1.0,1.0,16.0,7.5286359786987305,9.817339897155762,10.483257293701172
1,1.678512,1.0,1.0,16.0,5.191859722137451,13.018399238586426,10.819099426269531
2,1.6731467,1.0,1.0,16.0,5.758671760559082,9.992753982543945,10.817174911499023
3,0.59584206,1.0,1.0,16.0,8.386235237121582,8.553793907165527,10.872697830200195
4,2.107651,1.0,1.0,16.0,7.790258884429932,11.20738410949707,10.552131652832031
5,0.63520145,1.0,1.0,16.0,8.29270076751709,11.094412803649902,10.917036056518555
6,0.013686644,1.0,1.0,16.0,6.399479866027832,11.555121421813965,10.714486122131348
7,0.015477754,1.0,1.0,16.0,5.11541223526001,11.33221435546875,11.395830154418945
8,0.8720263,1.0,1.0,16.0,9.429936408996582,10.702043533325195,10.365432739257812
9,0.79207534,1.0,1.0,16.0,5.11845588684082,10.716373443603516,10.22062873840332
10,1.5353256,1.0,1.0,16.0,12.712015151977539,9.966970443725586,10.531517028808594
11,0.026465544,1.0,1.0,16.0,5.744935989379883,10.65731430053711,11.69188117980957
12,0.020408034,1.0,1.0,16.0,9.744620323181152,10.890671730041504,10.382814407348633
13,0.8285356,1.0,1.0,16.0,6.434392929077148,9.54106330871582,11.349159240722656
14,0.75443965,1.0,1.0,16.0,9.978066444396973,10.955175399780273,10.77558708190918
15,0.13730691,1.0,1.0,16.0,8.99307918548584,11.360514640808105,10.30467414855957
16,1.0868275,1.0,1.0,16.0,7.534313201904297,9.794044494628906,10.82533073425293
17,0.082884885,1.0,1.0,16.0,5.205801963806152,13.03423023223877,10.787530899047852
18,0.92893654,1.0,1.0,16.0,5.785386085510254,9.991209030151367,10.937847137451172
19,1.075339,1.0,1.0,16.0,8.402238845825195,8.554987907409668,10.584365844726562
20,1.4463037,1.0,1.0,16.0,7.788458824157715,11.20302677154541,10.741423606872559
21,0.06405168,1.0,1.0,16.0,8.29300594329834,11.080726623535156,11.058674812316895
22,0.24869303,1.0,1.0,16.0,6.409669876098633,11.539937973022461,10.4752197265625
23,1.7052838,1.0,1.0,16.0,5.1321120262146,11.316943168640137,11.627299308776855
24,0.03143493,1.0,1.0,16.0,9.429985046386719,10.715933799743652,10.56529426574707
